,parameter_id,smiles,mw
0,a36,O=S=C[C@@H]1CC[C@@H]2C[C@@H]3C[C@@]4(CCC[C@H]4[C@H]2C1)O3,266.4008940000001
1,a36,O=S=C[C@]12CCCC[C@@H]1C[C@@H]1C[C@@]3(CCC[C@H]32)O1,266.4008940000001
2,a36,O=S=C[C@]12CCCC[C@@H]1C[C@@H]1C[C@@]3(CCC[C@H]32)O1,266.4008940000001
3,a36,O=S=C[C@@H]1CC[C@@H]2C[C@@H]3C[C@@]4(CCC[C@H]4[C@H]2C1)O3,266.4008940000001
4,a36,O=S=C[C@]12CCCC[C@@H]1C[C@H]1C[C@@]3(CCC[C@H]32)O1,266.4008940000001
5,a36,O=S=C[C@@H]1CC[C@@H]2C[C@H]3C[C@@]4(CCC[C@H]4[C@H]2C1)O3,266.4008940000001
6,a36,O=S=C[C@]12CCCC[C@@H]1CC[C@H]1C(=O)CCC[C@@H]12,266.4008940000001
7,a36,O=S=C[C@@H]1/C=C/CCCC/C=C\C[C@H]2CCC[C@@H]21,264.4281380000001
8,a36,O=S=C[C@]12CCCC[C@@H]1CC[C@H]1C(=O)CCC[C@@H]12,266.4008940000001
9,a36,O=S=C[C@@H]1CC[C@H]2[C@@H](CC[C@H]3C(=O)CCC[C@H]23)C1,266.4008940000001
10,a36,O=S=C[C@@H]1/C=C\CCCC/C=C/C[C@H]2CCC[C@@H]21,264.4281380000001
11,a36,O=S=C[C@@H]1/C=C\CCCC/C=C/C[C@H]2CCC[C@@H]21,264.4281380000001
12,a36,O=S=C[C@H]1CCC[C@H]2[C@H]1C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,266.4008940000001
13,a36,O=S=CC1CC[C@H]2[C@H](C1)C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,266.4008940000001
14,a36,O=S=C/C1=C/CCCC/C=C/C[C@H]2CCC[C@@H]2C1,264.4281380000001
15,a36,O=S=C[C@H]1CCC[C@@H]2CC[C@H]3C(=O)CCC[C@@H]3[C@H]21,266.4008940000001
16,a36,O=S=C[C@]12C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@]3(C1)O2,266.4008940000001
17,a36,O=S=C[C@@H]1/C=C/CCCC/C=C\C[C@H]2CCC[C@@H]21,264.4281380000001
18,a36,O=S=CC1CC[C@H]2[C@H](C1)C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,266.4008940000001
19,a36,O=S=C[C@H]1CCC[C@H]2[C@H]1C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,266.4008940000001
