,parameter_id,smiles,mw
0,b82,Br[PH3][C@@H]1CC[C@@H]2C[C@@H]3C[C@@]4(CCC[C@H]4[C@H]2C1)O3,319.2189402000002
1,b82,Br[PH3][C@]12CCCC[C@@H]1C[C@@H]1C[C@@]3(CCC[C@H]32)O1,319.2189402000002
2,b82,Br[PH3][C@]12CCCC[C@@H]1C[C@@H]1C[C@@]3(CCC[C@H]32)O1,319.2189402000002
3,b82,Br[PH3][C@@H]1CC[C@@H]2C[C@@H]3C[C@@]4(CCC[C@H]4[C@H]2C1)O3,319.2189402000002
4,b82,Br[PH3][C@]12CCCC[C@@H]1C[C@H]1C[C@@]3(CCC[C@H]32)O1,319.2189402000002
5,b82,Br[PH3][C@@H]1CC[C@@H]2C[C@H]3C[C@@]4(CCC[C@H]4[C@H]2C1)O3,319.2189402000002
6,b82,O=C1CCC[C@H]2[C@H]1CC[C@H]1CCCC[C@@]12[PH3]Br,319.2189402000001
7,b82,Br[PH3][C@@H]1/C=C/CCCC/C=C\C[C@H]2CCC[C@@H]21,317.2461842000002
8,b82,O=C1CCC[C@H]2[C@H]1CC[C@H]1CCCC[C@@]12[PH3]Br,319.2189402000001
9,b82,O=C1CCC[C@@H]2[C@H]3CC[C@@H]([PH3]Br)C[C@@H]3CC[C@@H]12,319.2189402000001
10,b82,Br[PH3][C@@H]1/C=C\CCCC/C=C/C[C@H]2CCC[C@@H]21,317.2461842000002
11,b82,Br[PH3][C@@H]1/C=C\CCCC/C=C/C[C@H]2CCC[C@@H]21,317.2461842000002
12,b82,Br[PH3][C@H]1CCC[C@H]2[C@H]1C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,319.2189402000002
13,b82,Br[PH3]C1CC[C@H]2[C@H](C1)C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,319.2189402000002
14,b82,Br[PH3]/C1=C/CCCC/C=C/C[C@H]2CCC[C@@H]2C1,317.2461842000002
15,b82,O=C1CCC[C@@H]2[C@@H]3[C@H](CCC[C@@H]3[PH3]Br)CC[C@@H]12,319.2189402000001
16,b82,Br[PH3][C@]12C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@]3(C1)O2,319.2189402000002
17,b82,Br[PH3][C@@H]1/C=C/CCCC/C=C\C[C@H]2CCC[C@@H]21,317.2461842000002
18,b82,Br[PH3]C1CC[C@H]2[C@H](C1)C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,319.2189402000002
19,b82,Br[PH3][C@H]1CCC[C@H]2[C@H]1C[C@@H]1C[C@@]3(CCC[C@@H]23)O1,319.2189402000002
20,b82,Br[PH3]/C1=C\CCCC/C=C\C[C@H]2CCC[C@@H]2C1,317.2461842000002
21,b82,O=C1CCC[C@@H]2[C@H]3CC[C@@H]([PH3]Br)C[C@@H]3CC[C@@H]12,319.2189402000001
22,b82,Br[PH3]/C1=C\CCCC/C=C\C[C@H]2CCC[C@@H]2C1,317.2461842000002
23,b82,Br[PH3][C@@H]1CCC[C@@H]2C[C@@H]3C[C@@]4(CCC[C@H]4[C@H]21)O3,319.2189402000002
24,b82,Br[PH3][C@@H]1CCC[C@@H]2C[C@@H]3C[C@@]4(CCC[C@H]4[C@H]21)O3,319.2189402000002
25,b82,O=C1CCC[C@@H]2[C@H]3CCCC([PH3]Br)[C@@H]3CC[C@@H]12,319.2189402000001
26,b82,Br[PH3][C@@]12C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@]3(C1)O2,319.2189402000002
27,b82,Br[PH3][C@@]12C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@]3(C1)O2,319.2189402000002
28,b82,Br[PH3][C@@]12C/C=C/CCCC/C=C\C[C@H]1CCC2,317.2461842000002
29,b82,Br[PH3][C@@H]1C[C@@H]2C/C=C\CCCC/C=C/C[C@H]2C1,317.2461842000002
30,b82,Br[PH3][C@H]1CCC[C@H]2[C@H]1C[C@H]1C[C@@]3(CCC[C@@H]23)O1,319.2189402000002
31,b82,Br[PH3]/C1=C/CCCC/C=C/C[C@H]2CCC[C@@H]2C1,317.2461842000002
32,b82,O=C1CCC[C@@H]2[C@H]3C[C@@H]([PH3]Br)CC[C@@H]3CC[C@@H]12,319.2189402000001
33,b82,Br[PH3][C@@H]1[C@@H]2C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@@]13O2,319.2189402000002
34,b82,O=C1CCC[C@@H]2[C@H]3CCCC[C@@H]3CC[C@@]12[PH3]Br,319.2189402000001
35,b82,O=C1CCC[C@@H]2[C@@H]3[C@H](CCC[C@@H]3[PH3]Br)CC[C@@H]12,319.2189402000001
36,b82,Br[PH3]C1C/C=C/C[C@H]2CCC[C@@H]2C/C=C\CC1,317.2461842000002
37,b82,Br[PH3]C1CC[C@H]2[C@H](C1)C[C@H]1C[C@@]3(CCC[C@@H]23)O1,319.2189402000002
38,b82,Br[PH3][C@@H]1C/C=C\C[C@H]2CCC[C@@H]2C/C=C/CC1,317.2461842000002
39,b82,Br[PH3][C@H]1CC[C@H]2[C@H]3CCCC[C@@H]3C[C@@H]3C[C@]12O3,319.2189402000002
40,b82,Br[PH3][C@@H]1[C@H]2C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@@]13O2,319.2189402000002
41,b82,Br[PH3][C@@H]1CCC[C@@H]2C[C@H]3C[C@@]4(CCC[C@H]4[C@H]21)O3,319.2189402000002
42,b82,Br[PH3][C@@H]1C[C@@H]2C/C=C\CCCC/C=C/C[C@H]2C1,317.2461842000002
43,b82,Br[PH3]/C1=C/C[C@H]2CCC[C@@H]2C/C=C/CCCC1,317.2461842000002
44,b82,O=C1CCC[C@@H]2[C@H]3CCCC[C@@H]3CC[C@@]12[PH3]Br,319.2189402000001
45,b82,O=C1CCC[C@@H]2[C@H]3C[C@@H]([PH3]Br)CC[C@@H]3CC[C@@H]12,319.2189402000001
46,b82,Br[PH3]C1C[C@H]2[C@H]3CCCC[C@@H]3C[C@@H]3C[C@@]2(C1)O3,319.2189402000002
47,b82,Br[PH3]C1C/C=C/C[C@H]2CCC[C@@H]2C/C=C\CC1,317.2461842000002
48,b82,Br[PH3][C@H]1C/C=C\C[C@H]2CCC[C@@H]2C/C=C/CC1,317.2461842000002
49,b82,Br[PH3][C@@]12C/C=C/CCCC/C=C\C[C@H]1CCC2,317.2461842000002
50,b82,O=C1CCC[C@@H]2[C@H]3CCCC([PH3]Br)[C@@H]3CC[C@@H]12,319.2189402000001
51,b82,Br[PH3][C@@H]1[C@H]2C[C@H]3CCCC[C@@H]3[C@@H]3CCC[C@@]13O2,319.2189402000002
52,b82,Br[PH3][C@H]1CC[C@@H]2CCCCCCCC/C=C/[C@H]21,319.2620782000002
53,b82,Br[PH3][C@H]1/C=C\C[C@H]2CCC[C@@H]2C/C=C/CCC1,317.2461842000002
54,b82,Br[PH3][C@H]1CC[C@H]2[C@H]3CCCC[C@@H]3C[C@@H]3C[C@]12O3,319.2189402000002
55,b82,Br[PH3][C@H]1[C@H]2CCCC[C@@H]2[C@@H]2CCC[C@@]23C[C@@H]1O3,319.2189402000002
56,b82,Br[PH3]C1C2=CCC[C@H]1C[C@@H]1CCCC[C@H]1CC2,317.2461842000002
57,b82,Br[PH3][C@H]1/C=C\C[C@H]2CCC[C@@H]2C/C=C/CCC1,317.2461842000002
58,b82,Br[PH3]C1C2=CCC[C@H]1C[C@@H]1CCCC[C@H]1CC2,317.2461842000002
59,b82,Br[PH3][C@@H]1CC/C=C/[C@H]2CCC[C@@H]2CCCCC1,319.2620782000002
60,b82,Br[PH3][C@H]1[C@H]2CCCC[C@@H]2[C@@H]2CCC[C@@]23C[C@@H]1O3,319.2189402000002
61,b82,Br[PH3][C@H]1CC[C@H]2[C@H]3CCCC[C@@H]3C[C@H]3C[C@]12O3,319.2189402000002
62,b82,Br[PH3][C@H]1C[C@H]2[C@H]3CCCC[C@@H]3C[C@@H]3C[C@@]2(C1)O3,319.2189402000002
63,b82,Br[PH3]C1CCC/C=C/[C@H]2CCC[C@@H]2CCCC1,319.2620782000002
64,b82,O=C1CCCCCCCC[C@H]([PH3]Br)CCCO1,325.2234842000001
65,b82,Br[PH3][C@H]1C[C@@H]2CCCC[C@H]2C[C@@H]2CCC=C1C2,317.2461842000002
66,b82,Br[PH3][C@H]1CC[C@@H]2C/C=C\CCCC/C=C/C[C@H]21,317.2461842000002
67,b82,Br[PH3][C@H]1CC[C@@H]2C/C=C/CCCC/C=C\C[C@H]21,317.2461842000002
68,b82,O=C1CCCCCCCC[C@H]([PH3]Br)CCCO1,325.2234842000001
69,b82,Br[PH3]/C1=C/C[C@H]2CCC[C@@H]2C/C=C/CCCC1,317.2461842000002
70,b82,O=C1CCC[C@@H]([PH3]Br)CCCCCCCCO1,325.22348420000014
71,b82,Br[PH3][C@H]1C[C@@H]2CCCC[C@H]2C[C@@H]2CCC=C1C2,317.2461842000002
72,b82,O=C1C[C@H]([PH3]Br)CCCCCCCCCCO1,325.22348420000014
73,b82,Br[PH3][C@]12CCC=C(CC[C@@H]3CCCC[C@H]3C1)C2,317.2461842000002
74,b82,Br[PH3]C1=C2CC[C@@H]3CCCC[C@H]3C[C@H](CC1)C2,317.2461842000002
75,b82,O=C1CCCCCCCCCCC([PH3]Br)CO1,325.2234842000001
76,b82,Br[PH3][C@H]1C[C@H]2[C@H]3CCCC[C@@H]3C[C@H]3C[C@@]2(C1)O3,319.2189402000002
77,b82,O=C1CC[C@@H]([PH3]Br)[C@@H]2[C@H]3CCCC[C@@H]3CC[C@@H]12,319.21894020000013
78,b82,Br[PH3][C@H]1C/C=C/[C@H]2CCC[C@@H]2C/C=C/CCC1,317.2461842000002
79,b82,O=C1CC[C@H]([PH3]Br)CCCCCCCCCO1,325.22348420000014
80,b82,O=C1CCCCCCCCC[C@@H]([PH3]Br)CCO1,325.2234842000001
81,b82,O=C1C[C@@H]([PH3]Br)CCCCCCCCCCO1,325.22348420000014
82,b82,O=C1C[C@@H]([PH3]Br)CCCCCCCCCCO1,325.22348420000014
83,b82,O=C1CCCCCCC[C@H]([PH3]Br)CCCCO1,325.2234842000001
84,b82,Br[PH3][C@@H]1C=C2CC[C@@H]3CCCC[C@H]3C[C@@H](C2)C1,317.2461842000002
85,b82,O=C1CCCCCCCC[C@H]([PH3]Br)CCCO1,325.2234842000001
86,b82,O=C1CCCCCCCC[C@H]([PH3]Br)CCCO1,325.2234842000001
87,b82,Br[PH3][C@H]1[C@H]2CCCC[C@@H]2[C@@H]2CCC[C@@]23C[C@H]1O3,319.2189402000002
88,b82,Br[PH3][C@H]1CC[C@@H]2C/C=C\CCCC/C=C/C[C@H]21,317.2461842000002
89,b82,Br[PH3][C@H]1CC[C@@H]2C/C=C/CCCC/C=C\C[C@H]21,317.2461842000002
90,b82,O=C1CCCCCCCC[C@H]([PH3]Br)CCCO1,325.2234842000001
91,b82,O=C1C[C@@H]([PH3]Br)CCCCCCCCCCO1,325.22348420000014
92,b82,O=C1CCCCCC[C@@H]([PH3]Br)CCCCCO1,325.2234842000001
93,b82,O=C1CCCCCCCCCC[C@@H]([PH3]Br)CO1,325.2234842000001
94,b82,Br[PH3][C@H]1/C=C/[C@H]2CCC[C@@H]2CCCCCCC1,319.2620782000002
95,b82,O=C1CCCCCCC[C@@H]([PH3]Br)CCCCO1,325.2234842000001
96,b82,O=C1C=C[C@H]2[C@H]3C[C@@H]([PH3]Br)CC[C@@H]3CCC[C@H]12,317.2030462000001
97,b82,Br[PH3][C@H]1CC2=CCC[C@H](C2)C[C@@H]2CCCC[C@H]21,317.2461842000002
98,b82,O=C1CCCCCCC[C@H]([PH3]Br)CCCCO1,325.2234842000001
99,b82,O=C1CCCCCCCCCC[C@@H]([PH3]Br)CO1,325.2234842000001
100,b82,O=C1CC[C@@H]([PH3]Br)[C@@H]2[C@H]3CCCC[C@@H]3CC[C@@H]12,319.21894020000013
101,b82,Br[PH3]C1=C2CC[C@@H]3CCCC[C@H]3C[C@H](CC1)C2,317.2461842000002
102,b82,Br[PH3][C@@]12C/C=C/CCCCC/C=C/[C@H]1CCC2,317.2461842000002
103,b82,O=C1CCCCCCCCC[C@@H]([PH3]Br)CCO1,325.2234842000001
104,b82,Br[PH3][C@]12CCCC[C@@H]1CCC[C@@H]1CCC[C@H]12,305.2354042000002
105,b82,O=C1CCCCCCCCC[C@@H]([PH3]Br)CCO1,325.2234842000001
106,b82,O=C1C[C@@H]([PH3]Br)CCCCCCCCCCO1,325.22348420000014
107,b82,O=C1CC[C@H]([PH3]Br)CCCCCCCCCO1,325.22348420000014
108,b82,O=C1CCCCCCCCC[C@@H]([PH3]Br)CCO1,325.2234842000001
109,b82,O=C1CC[C@H]([PH3]Br)CCCCCCCCCO1,325.22348420000014
