,parameter_id,smiles,mw
0,t89,O=S1(=O)CCN2C([C@@H]3CCCCO3)=CSC2=N1,274.36178800000005
1,t89,O=S1(=O)N=CSc2ccc([C@@H]3CCCCO3)cc21,283.3686810000001
2,t89,O=S1(=O)CCN2N=C([C@@H]3CCCCO3)SC2=N1,275.34978100000006
3,t89,O=S1(=O)N=CSc2c1cnn2[C@@H]1CCCCO1,273.3338870000001
4,t89,O=S1(=O)N=C([C@@H]2CCCCO2)Sc2ccccc21,283.3686810000001
5,t89,O=S1(=O)CCN2C=C([C@@H]3CCCCO3)SC2=N1,274.36178800000005
6,t89,O=S1(=O)N=C([C@@H]2CCCCO2)Sc2ccncc21,284.35667400000006
7,t89,O=C1C=C[C@@H](n2ncc3c2SC=NS3(=O)=O)CN1,284.316766
8,t89,O=S1(=O)N=CSc2c1cnn2[C@@H]1NCCn2ccnc21,310.3574500000001
9,t89,O=S1(=O)N=CSc2ccc(C3C=Cc4ccccc4O3)cc21,329.3959070000002
10,t89,O=S1(=O)N=C(C2C=Cc3ccccc3O2)Sc2ccncc21,330.3839000000001
11,t89,O=S1(=O)N=C(C2C=Cc3ccccc3O2)Sc2ccccc21,329.39590700000014
12,t89,O=S1(=O)N=CSc2c1cnn2C1C=Cc2ccccc2O1,319.36111300000016
13,t89,O=S1(=O)CCN2N=C(C3C=Cc4ccccc4O3)SC2=N1,321.3770070000001
14,t89,O=S1(=O)CCN2C(C3C=Cc4ccccc4O3)=CSC2=N1,320.3890140000001
15,t89,O=S1(=O)N=CSc2c1cnn2N1CCC2(CCNCC2)CC1,341.4545930000001
16,t89,O=S1(=O)N=CSc2ccc(C3CCCc4ccccc4C3)cc21,343.4657190000002
17,t89,O=S1(=O)CCN2N=C(C3CCCc4ccccc4C3)SC2=N1,335.4468190000001
18,t89,O=S1(=O)N=CSc2c1cnn2C1CCCc2ccccc2C1,333.4309250000002
19,t89,O=S1(=O)CCN2C(C3CCCc4ccccc4C3)=CSC2=N1,334.4588260000001
20,t89,O=S1(=O)N=C(C2CCCc3ccccc3C2)Sc2ccncc21,344.4537120000001
21,t89,O=S1(=O)CCN2C=C(C3CCCc4ccccc4C3)SC2=N1,334.4588260000001
22,t89,O=S1(=O)N=C(C2CCCc3ccccc3C2)Sc2ccccc21,343.46571900000015
23,t89,O=C1c2cccn2CCN1n1ncc2c1SC=NS2(=O)=O,323.3529930000001
24,t89,O=C1c2cccn2CCN1C1=NS(=O)(=O)c2ccccc2S1,333.38778700000006
25,t89,O=C1c2cccn2CCN1C1=CN2CCS(=O)(=O)N=C2S1,324.380894
26,t89,O=C1c2cccn2CCN1C1=NN2CCS(=O)(=O)N=C2S1,325.368887
27,t89,O=C1CNC[C@@H](n2ncc3c2SC=NS3(=O)=O)N1,287.320653
28,t89,O=c1c(-n2ncc3c2SC=NS3(=O)=O)cnc2sccn12,339.375925
29,t89,O=S1(=O)N=CSc2c1cnn2[C@@H]1Cc2ccccc2O1,307.35033300000015
30,t89,O=C1NCSCC[C@@H]1n1ncc2c1SC=NS2(=O)=O,318.3981600000001
31,t89,O=C1C=CC[C@H](n2ncc3c2SC=NS3(=O)=O)O1,285.301529
32,t89,O=S1(=O)N=C(c2cccc3c2CNC3)Sc2ccncc21,317.3883570000001
33,t89,O=S1(=O)N=CSc2c1cnn2-c1cccc2c1CNC2,306.3655700000001
34,t89,O=S1(=O)CCN2C=C(c3cccc4c3CNC4)SC2=N1,307.3934710000001
35,t89,O=S1(=O)CCN2N=C(c3cccc4c3CNC4)SC2=N1,308.3814640000001
36,t89,O=S1(=O)CCN2C(c3cccc4c3CNC4)=CSC2=N1,307.3934710000001
37,t89,O=S1(=O)N=C(c2cccc3c2CNC3)Sc2ccccc21,316.40036400000014
38,t89,O=S1(=O)N=CSc2ccc(-c3cccc4c3CNC4)cc21,316.40036400000014
39,t89,O=S1(=O)N=CSc2c1cnn2N1CCC2(CCNCC2)C1,327.4279190000001
40,t89,C=C1C(=O)NC(n2ncc3c2SC=NS3(=O)=O)C1=O,298.30030200000004
41,t89,O=S1(=O)CCN2C([C@H]3CC=NN3)=CSC2=N1,258.32245
42,t89,O=S1(=O)N=CSc2c1cnn2[C@H]1CC=NN1,257.2945490000001
43,t89,O=S1(=O)N=C([C@H]2CC=NN2)Sc2ccncc21,268.317336
44,t89,O=S1(=O)N=C([C@H]2CC=NN2)Sc2ccccc21,267.32934300000005
45,t89,O=S1(=O)CCN2C=C([C@H]3CC=NN3)SC2=N1,258.32245
46,t89,O=S1(=O)N=CSc2ccc([C@H]3CC=NN3)cc21,267.3293430000001
47,t89,O=S1(=O)CCN2N=C([C@H]3CC=NN3)SC2=N1,259.310443
