,parameter_id,smiles,mw
0,t138a,S=N[NH+]1COc2c(I)cccc2C1,307.13265900000005
1,t138a,IC=N[NH+]1COc2c(I)cccc2C1,414.9903590000001
2,t138a,O=N[NH+]1COc2c(I)cccc2C1,291.0665890000001
3,t138a,C=N[NH+]1COc2c(I)cccc2C1,289.0938330000001
4,t138a,FC=N[NH+]1COc2c(I)cccc2C1,307.08428925000004
5,t138a,N=N[NH+]1COc2c(I)cccc2C1,290.08182600000004
6,t138a,[O-][N+]1(C2CCCN2)C=CC=N1,153.182467
7,t138a,[O-][N+]1(C2CCOC2)C=CC=N1,154.16723000000002
8,t138a,[O-][NH2+]N=C1CCCc2occc21,166.17801000000003
9,t138a,[NH3+]N=C1CCCc2occc21,151.186527
10,t138a,[O-][N+]1(C2CNC2)C=CC=N1,139.155793
11,t138a,[O-][N+]1(N2CCCC2)C=CC=N1,153.182467
12,t138a,BrC=N[NH+]1CCc2ccccc2C1,240.1207040000001
13,t138a,[O-]C=N[NH+]1CCc2ccccc2C1,176.21603400000004
14,t138a,[H]N=N[NH+]1CCc2ccccc2C1,162.212544
15,t138a,[NH-][NH+]1CCc2ccccc2C1,148.205824
16,t138a,N=C=N[NH+]1CCc2ccccc2C1,174.22332400000002
17,t138a,[O-]N=N[NH+]1CCc2ccccc2C1,177.20402700000005
18,t138a,[N-]=N[NH+]1CCc2ccccc2C1,161.204597
19,t138a,[SH2]=N[NH+]1CCc2ccccc2C1,181.27927100000005
20,t138a,FC=N[NH+]1CCc2ccccc2C1,179.21500725000004
21,t138a,S=C=N[NH+]1CCc2ccccc2C1,191.27415700000006
22,t138a,N#C[N-][NH+]1CCc2ccccc2C1,173.21537700000002
23,t138a,[S-]C=N[NH+]1CCc2ccccc2C1,192.28210400000006
24,t138a,ClN=N[NH+]1CCc2ccccc2C1,196.65779700000004
25,t138a,ClC=N[NH+]1CCc2ccccc2C1,195.66980400000006
26,t138a,IC=N[NH+]1CCc2ccccc2C1,287.1210770000001
27,t138a,N=S=N[NH+]1CCc2ccccc2C1,194.27804400000005
28,t138a,[PH3]=N[NH+]1CCc2ccccc2C1,181.19548020000005
29,t138a,O=C=N[NH+]1CCc2ccccc2C1,175.20808700000003
30,t138a,N=N[NH+]1CCc2ccccc2C1,162.212544
31,t138a,N#CC=N[NH+]1CCc2ccccc2C1,186.23410400000003
32,t138a,N#CN=N[NH+]1CCc2ccccc2C1,187.22209700000005
33,t138a,C=C=N[NH+]1CCc2ccccc2C1,173.23533100000003
34,t138a,[IH]=N[NH+]1CCc2ccccc2C1,275.1102970000001
35,t138a,[H]C=N[NH+]1CCc2ccccc2C1,161.22455100000002
36,t138a,C=N[NH+]1CCc2ccccc2C1,161.22455100000002
37,t138a,Cl[N-][NH+]1CCc2ccccc2C1,182.65107700000004
38,t138a,S=N[NH+]1CCc2ccccc2C1,179.26337700000005
39,t138a,O=N[NH+]1CCc2ccccc2C1,163.19730700000002
40,t138a,[O-][N+]1(C2OCCO2)C=CC=N1,156.13998600000002
41,t138a,[O-][N+]1(C2CCCC2)C=CC=N1,152.19447399999999
42,t138a,[O-][NH2+]N=C1CCCc2occc21,166.17801000000003
43,t138a,[NH3+]N=C1CCCc2occc21,151.186527
44,t138a,[NH3+]N=C1CCCc2ccccc21,161.22455100000002
45,t138a,S=N[N@+]12CCC[C@H]1CNCC2,172.27237800000003
46,t138a,FC=N[N@+]12CCC[C@H]1CNCC2,172.22400825000003
47,t138a,N=N[N@+]12CCC[C@H]1CNCC2,155.22154500000002
48,t138a,C=N[N@+]12CCC[C@H]1CNCC2,154.233552
49,t138a,O=N[N@+]12CCC[C@H]1CNCC2,156.20630800000004
50,t138a,IC=N[N@+]12CCC[C@H]1CNCC2,280.1300780000001
51,t138a,[NH3+]N=C1CCc2ccccc2O1,163.197307
52,t138a,[NH3+]N=C1NC(=S)NC12CCCC2,185.27115100000006
53,t138a,C1=CC(=N[NH+]2CCC2)CCC1,151.229665
54,t138a,S=C1SC=C[NH+]1N=C1C=CCCC1,211.32887700000006
55,t138a,C1=CC(=N[NH+]2CCSC2)CCC1,183.29516500000005
56,t138a,C1=CC(=N[NH+]2CC=CC2)CCC1,163.24044500000002
57,t138a,[NH3+]N=C1C=CCCC1,111.165537
58,t138a,[O-][NH2+]N=C1C=CCCC1,126.15702
59,t138a,C1=CC(=N[NH+]2CCOC2)CCC1,167.22909500000006
60,t138a,C1=CC(=N[NH+]2CC2)CCC1,137.202991
61,t138a,C1=CC(=N[NH+]2CCCCC2)CCC1,179.28301300000004
62,t138a,C1=CC(=N[NH+]2CCCC2)CCC1,165.25633900000003
63,t138a,C1=CC(=N[NH+]2CCNCC2)CCC1,180.27100600000006
64,t138a,C1=CC(=N[NH+]2CCSCC2)CCC1,197.32183900000007
65,t138a,C1=CC(=N[NH+]2CCCO2)CCC1,167.22909500000006
66,t138a,C1=CC(=N[NH+]2C=NCC2)CCC1,164.22843800000004
67,t138a,[O-][N+]1(N2CCCO2)C=CC=N1,155.155223
