,parameter_id,smiles,mw
0,t49,Ic1nccc[n+]1C1CNC1,262.07161600000006
1,t49,Fc1ccnc[n+]1C1CNC1,154.16554625
2,t49,[SH2+]c1ccc[nH+]n1,114.169742
3,t49,Sc1ccc[nH+]n1,113.161795
4,t49,N#CCc1ccc[nH+]n1,120.132522
5,t49,ICC#COc1ccc[nH+]n1,261.04048500000005
6,t49,C=C(I)c1ccc[nH+]n1,233.03027500000005
7,t49,C#CCc1ccc[nH+]n1,119.144529
8,t49,[CH2+]c1ccc[nH+]n1,94.11502200000001
9,t49,S=C=Nc1ccc[nH+]n1,138.171348
10,t49,OC#CCc1ccc[nH+]n1,135.143959
11,t49,[H]N=Cc1ccc[nH+]n1,108.121742
12,t49,Cc1ccc[nH+]n1,95.12296900000001
13,t49,[NH-]c1ccc[nH+]n1,95.103015
14,t49,ClN=Cc1ccc[nH+]n1,142.566995
15,t49,C1=NN1c1ccc[nH+]n1,121.120515
16,t49,IOc1ccc[nH+]n1,222.99225100000004
17,t49,[CH2-]c1ccc[nH+]n1,94.11502200000001
18,t49,IN(I)c1ccc[nH+]n1,347.90401399999996
19,t49,IC=Cc1ccc[nH+]n1,233.03027500000007
20,t49,C#CC=Cc1ccc[nH+]n1,131.155309
21,t49,IC(I)c1ccc[nH+]n1,346.916021
22,t49,[O-]Cc1ccc[nH+]n1,110.114452
23,t49,[SH2-]c1ccc[nH+]n1,114.169742
24,t49,[IH]=Nc1ccc[nH+]n1,222.00748800000005
25,t49,N#CC=Cc1ccc[nH+]n1,132.14330199999998
26,t49,[PH3+]c1ccc[nH+]n1,114.08595120000001
27,t49,N=Cc1ccc[nH+]n1,108.121742
28,t49,C1#CC1c1ccc[nH+]n1,117.128635
29,t49,[SH3]c1ccc[nH+]n1,115.177689
30,t49,O=C=Nc1ccc[nH+]n1,122.105278
31,t49,FC=Pc1ccc[nH+]n1,143.07924045
32,t49,N=C=Cc1ccc[nH+]n1,120.132522
33,t49,Oc1ccc[nH+]n1,97.095725
34,t49,[O-]Nc1ccc[nH+]n1,111.102445
35,t49,IC=Nc1ccc[nH+]n1,234.01826800000006
36,t49,BrC=Cc1ccc[nH+]n1,186.02990200000002
37,t49,[OH2+]c1ccc[nH+]n1,98.103672
38,t49,ISc1ccc[nH+]n1,239.05832100000003
39,t49,ClN=Nc1ccc[nH+]n1,143.554988
40,t49,O=Ic1ccc[nH+]n1,222.99225100000004
41,t49,ICc1ccc[nH+]n1,221.01949500000006
42,t49,BrNc1ccc[nH+]n1,175.00711500000003
43,t49,CC#COc1ccc[nH+]n1,135.143959
44,t49,O=[SH]c1ccc[nH+]n1,129.161225
45,t49,ClNc1ccc[nH+]n1,130.556215
46,t49,C=C(F)c1ccc[nH+]n1,125.12420525
47,t49,BrC=Nc1ccc[nH+]n1,187.01789500000004
48,t49,N=C=Nc1ccc[nH+]n1,121.120515
49,t49,NC#CCc1ccc[nH+]n1,134.15919599999998
50,t49,N#CSc1ccc[nH+]n1,138.171348
51,t49,NC#CNc1ccc[nH+]n1,135.147189
52,t49,ClC(I)c1ccc[nH+]n1,255.46474800000004
53,t49,ClC=Nc1ccc[nH+]n1,142.566995
54,t49,O=Cc1ccc[nH+]n1,109.106505
55,t49,[N-]=Nc1ccc[nH+]n1,108.101788
56,t49,O=Nc1ccc[nH+]n1,110.094498
57,t49,C1=NC1c1ccc[nH+]n1,120.132522
58,t49,[H]N=Nc1ccc[nH+]n1,109.109735
59,t49,C=[SH]c1ccc[nH+]n1,127.188469
60,t49,PC#CPc1ccc[nH+]n1,169.08127340000001
61,t49,N=[SH]c1ccc[nH+]n1,128.176462
62,t49,C=Nc1ccc[nH+]n1,108.121742
63,t49,ClSc1ccc[nH+]n1,147.607048
64,t49,SC#CSc1ccc[nH+]n1,169.248855
65,t49,[S-]Cc1ccc[nH+]n1,126.180522
66,t49,O=S=Cc1ccc[nH+]n1,141.17200499999998
67,t49,FCC#CCc1ccc[nH+]n1,151.16165924999999
68,t49,N#COc1ccc[nH+]n1,122.105278
69,t49,FC=Cc1ccc[nH+]n1,125.12420525
70,t49,C#CNc1ccc[nH+]n1,120.13252200000001
71,t49,BrC#CCc1ccc[nH+]n1,198.04068200000003
72,t49,C#CSc1ccc[nH+]n1,137.183355
73,t49,S=[SH]c1ccc[nH+]n1,145.227295
74,t49,FNc1ccc[nH+]n1,114.10141825
75,t49,C#COc1ccc[nH+]n1,121.117285
76,t49,C=[S+]c1ccc[nH+]n1,126.180522
77,t49,FC=Nc1ccc[nH+]n1,126.11219825
78,t49,ClC=Cc1ccc[nH+]n1,141.579002
79,t49,FCc1ccc[nH+]n1,113.11342525
80,t49,C=Cc1ccc[nH+]n1,107.13374900000001
81,t49,ClCc1ccc[nH+]n1,129.568222
82,t49,[O-]Pc1ccc[nH+]n1,128.0694872
83,t49,CC#CCc1ccc[nH+]n1,133.171203
